nohup: ignoring input
127.0.0.1 - - [03/May/2026 18:43:06] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 18:43:11] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:44:10] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:44:10] "GET /css/styles.css HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:44:10] "GET /js/script.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:44:10] "GET /js/revolico_integration.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:46:07] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:46:07] "GET /css/styles.css HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:46:07] "GET /js/script.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:46:07] "GET /js/revolico_integration.js HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 18:47:37] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:48:01] "HEAD / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:48:01] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:48:01] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:48:01] "GET /css/styles.css HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:48:02] "GET /js/script.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:48:02] "GET /js/revolico_integration.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:48:02] code 404, message File not found
10.100.160.1 - - [03/May/2026 18:48:02] "GET /favicon.ico HTTP/1.1" 404 -
10.100.160.1 - - [03/May/2026 18:53:01] "HEAD / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:53:01] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:53:02] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:53:02] "GET /css/styles.css HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:53:02] "GET /js/script.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:53:02] "GET /js/revolico_integration.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:53:02] code 404, message File not found
10.100.160.1 - - [03/May/2026 18:53:02] "GET /favicon.ico HTTP/1.1" 404 -
10.100.160.1 - - [03/May/2026 18:57:38] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:57:39] "GET /css/styles.css HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:57:39] "GET /js/revolico_integration.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:57:39] "GET /js/script.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 18:57:39] code 404, message File not found
10.100.160.1 - - [03/May/2026 18:57:39] "GET /favicon.ico HTTP/1.1" 404 -
10.100.160.1 - - [03/May/2026 19:04:36] "GET / HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 19:04:36] "GET /css/styles.css HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 19:04:36] "GET /js/script.js HTTP/1.1" 200 -
10.100.160.1 - - [03/May/2026 19:04:36] "GET /js/revolico_integration.js HTTP/1.1" 200 -
